"ID","Tramite","Campaña","Numero_semanas_por_campaña","EMedia_Tramites_por_semana","EBaja_Tramites_por_semana","EAlta_Tramites_por_semana","EMedia_Tramites_por_campaña","EBaja_Tramites_por_campaña","EAlta_Tramites_por_campaña"
"GUANAJUATO-DTO-9","ENTREGA_CPV","CAP_2021",13,534,263,882.5,6942,3419,11472.5
"GUANAJUATO-DTO-9","TOTAL_SOLICITUDES","CAP_2021",13,1161,443,1501,15093,5759,19513
"GUERRERO-DTO-1","ENTREGA_CPV","CAP_2021",13,150,88.5,205.5,1950,1150.5,2671.5
"GUERRERO-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,143,129.5,729.5,1859,1683.5,9483.5
"GUERRERO-DTO-2","ENTREGA_CPV","CAP_2021",13,434,293.5,569.5,5642,3815.5,7403.5
"GUERRERO-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,487,345,1096,6331,4485,14248
"GUERRERO-DTO-3","ENTREGA_CPV","CAP_2021",13,150,105.5,218,1950,1371.5,2834
"GUERRERO-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,159,141.5,1116.5,2067,1839.5,14514.5
"GUERRERO-DTO-4","ENTREGA_CPV","CAP_2021",13,495,412,701,6435,5356,9113
"GUERRERO-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,628,456.5,1211,8164,5934.5,15743
"GUERRERO-DTO-5","ENTREGA_CPV","CAP_2021",13,128,61,250,1664,793,3250
"GUERRERO-DTO-5","TOTAL_SOLICITUDES","CAP_2021",13,290,87,1095.5,3770,1131,14241.5
"GUERRERO-DTO-6","ENTREGA_CPV","CAP_2021",13,81,69,214.5,1053,897,2788.5
"GUERRERO-DTO-6","TOTAL_SOLICITUDES","CAP_2021",13,237,41.5,685,3081,539.5,8905
"GUERRERO-DTO-7","ENTREGA_CPV","CAP_2021",13,369,310.5,566.5,4797,4036.5,7364.5
"GUERRERO-DTO-7","TOTAL_SOLICITUDES","CAP_2021",13,601,355,1007.5,7813,4615,13097.5
"GUERRERO-DTO-8","ENTREGA_CPV","CAP_2021",13,116,65.5,177.5,1508,851.5,2307.5
"GUERRERO-DTO-8","TOTAL_SOLICITUDES","CAP_2021",13,122,104,577,1586,1352,7501
"GUERRERO-DTO-9","ENTREGA_CPV","CAP_2021",13,339,274,611,4407,3562,7943
"GUERRERO-DTO-9","TOTAL_SOLICITUDES","CAP_2021",13,624,314.5,1110.5,8112,4088.5,14436.5
"HIDALGO-DTO-1","ENTREGA_CPV","CAP_2021",13,137,86.5,286.5,1781,1124.5,3724.5
"HIDALGO-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,223,110,821,2899,1430,10673
"HIDALGO-DTO-2","ENTREGA_CPV","CAP_2021",13,182,61.5,237.5,2366,799.5,3087.5
"HIDALGO-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,218,157,567,2834,2041,7371
"HIDALGO-DTO-3","ENTREGA_CPV","CAP_2021",13,220,137,266.5,2860,1781,3464.5
"HIDALGO-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,207,185.5,620,2691,2411.5,8060
"HIDALGO-DTO-4","ENTREGA_CPV","CAP_2021",13,294,164.5,530,3822,2138.5,6890
"HIDALGO-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,426,285.5,803.5,5538,3711.5,10445.5
"HIDALGO-DTO-5","ENTREGA_CPV","CAP_2021",13,469,227,796,6097,2951,10348
"HIDALGO-DTO-5","TOTAL_SOLICITUDES","CAP_2021",13,638,325,1157.5,8294,4225,15047.5
"HIDALGO-DTO-6","ENTREGA_CPV","CAP_2021",13,810,496,1329.5,10530,6448,17283.5
"HIDALGO-DTO-6","TOTAL_SOLICITUDES","CAP_2021",13,1050,871.5,2534,13650,11329.5,32942
"HIDALGO-DTO-7","ENTREGA_CPV","CAP_2021",13,459,299,780,5967,3887,10140
"HIDALGO-DTO-7","TOTAL_SOLICITUDES","CAP_2021",13,649,395,1618.5,8437,5135,21040.5
"JALISCO-DTO-1","ENTREGA_CPV","CAP_2021",13,67,44.5,103.5,871,578.5,1345.5
"JALISCO-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,79,54,522.5,1027,702,6792.5
"JALISCO-DTO-10","ENTREGA_CPV","CAP_2021",13,708,428.5,853,9204,5570.5,11089
"JALISCO-DTO-10","TOTAL_SOLICITUDES","CAP_2021",13,641,591.5,1063.5,8333,7689.5,13825.5
"JALISCO-DTO-11","ENTREGA_CPV","CAP_2021",13,336,271,445,4368,3523,5785
"JALISCO-DTO-11","TOTAL_SOLICITUDES","CAP_2021",13,376,330.5,785,4888,4296.5,10205
"JALISCO-DTO-12","ENTREGA_CPV","CAP_2021",13,315,234.5,600,4095,3048.5,7800
"JALISCO-DTO-12","TOTAL_SOLICITUDES","CAP_2021",13,712,265.5,1046,9256,3451.5,13598
"JALISCO-DTO-13","ENTREGA_CPV","CAP_2021",13,318,226.5,575.5,4134,2944.5,7481.5
"JALISCO-DTO-13","TOTAL_SOLICITUDES","CAP_2021",13,380,263.5,918.5,4940,3425.5,11940.5
"JALISCO-DTO-14","ENTREGA_CPV","CAP_2021",13,384,296.5,659.5,4992,3854.5,8573.5
"JALISCO-DTO-14","TOTAL_SOLICITUDES","CAP_2021",13,487,334.5,931,6331,4348.5,12103
"JALISCO-DTO-15","ENTREGA_CPV","CAP_2021",13,202,160,504,2626,2080,6552
"JALISCO-DTO-15","TOTAL_SOLICITUDES","CAP_2021",13,677,159,1127,8801,2067,14651
"JALISCO-DTO-16","ENTREGA_CPV","CAP_2021",13,327,298,533.5,4251,3874,6935.5
"JALISCO-DTO-16","TOTAL_SOLICITUDES","CAP_2021",13,392,320.5,714.5,5096,4166.5,9288.5
"JALISCO-DTO-17","ENTREGA_CPV","CAP_2021",13,115,59,166,1495,767,2158
"JALISCO-DTO-17","TOTAL_SOLICITUDES","CAP_2021",13,109,98,524,1417,1274,6812
"JALISCO-DTO-18","ENTREGA_CPV","CAP_2021",13,187,115.5,331.5,2431,1501.5,4309.5
"JALISCO-DTO-18","TOTAL_SOLICITUDES","CAP_2021",13,453,236,964.5,5889,3068,12538.5
"JALISCO-DTO-19","ENTREGA_CPV","CAP_2021",13,235,202,364,3055,2626,4732
