"ID","Tramite","Campaña","Total_tramites_por_campaña","Numero_semanas_por_campaña","Promedio_tramites_por_semana","Mediana","Desviacion_Estandar","Rango_Intercuantil","Q1","Q3"
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","CAI_2019",18857,14,1346.93,1490,441.77,230.75,1367.75,1598.5
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","CAI_2020_2021",36477,23,1585.96,1682,469.16,579.5,1263,1842.5
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","CAP_2018",5826,7,832.29,532,552.22,812,477,1289
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","CAP_2018_2019",59490,38,1565.53,1254.5,1269.17,1228.75,723.75,1952.5
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","CAP_2019_2020",27560,20,1378,1486,880.66,1395.75,593.75,1989.5
"AGUASCALIENTES-DTO-2","ENTREGA_CPV","Proceso Electoral Federal",28660,27,1061.48,616,1009.32,765,447,1212
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","CAI_2017_2018",36213,22,1646.05,1339.5,774.54,503,1263.5,1766.5
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","CAI_2018",20985,14,1498.93,1503,159.08,141.25,1444,1585.25
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","CAI_2019",20415,14,1458.21,1519.5,159.95,165.25,1389.5,1554.75
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","CAI_2020_2021",40077,23,1742.48,1724,597.68,679,1364,2043
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","CAP_2018",7066,7,1009.43,1294,684.48,1138,461.5,1599.5
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","CAP_2018_2019",61554,38,1619.84,1459,1110.41,652.25,1127.75,1780
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","CAP_2019_2020",26906,20,1345.3,1506,684.47,811.25,967.25,1778.5
"AGUASCALIENTES-DTO-2","TOTAL_SOLICITUDES","Proceso Electoral Federal",15995,27,592.41,510,440.46,184,442.5,626.5
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","CAI_2017_2018",31534,22,1433.36,1405,472.38,321.25,1204.5,1525.75
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","CAI_2018",21771,14,1555.07,1489.5,229.07,303.5,1389.75,1693.25
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","CAI_2019",16497,14,1178.36,1344,402.19,362.25,1075,1437.25
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","CAI_2020_2021",33658,23,1463.39,1514,416.26,597,1124.5,1721.5
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","CAP_2018",5456,7,779.43,751,488.94,434,571.5,1005.5
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","CAP_2018_2019",56740,38,1493.16,1358.5,1312.46,1275.5,569.75,1845.25
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","CAP_2019_2020",25148,20,1257.4,1284.5,801.19,1208,566.5,1774.5
"AGUASCALIENTES-DTO-3","ENTREGA_CPV","Proceso Electoral Federal",26910,27,996.67,601,884.55,809.5,443.5,1253
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","CAI_2017_2018",35972,22,1635.09,1427,725.52,416.5,1250.5,1667
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","CAI_2018",22124,14,1580.29,1524,249.78,242.75,1472.75,1715.5
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","CAI_2019",18165,14,1297.5,1354,150.06,178.25,1228.5,1406.75
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","CAI_2020_2021",36962,23,1607.04,1412,571.41,636.5,1255,1891.5
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","CAP_2018",6888,7,984,1246,640.93,978.5,505,1483.5
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","CAP_2018_2019",57928,38,1524.42,1424,1161.87,541.25,1054.25,1595.5
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","CAP_2019_2020",24535,20,1226.75,1383.5,635.51,459.75,1071.5,1531.25
"AGUASCALIENTES-DTO-3","TOTAL_SOLICITUDES","Proceso Electoral Federal",15121,27,560.04,464,439.48,110,428,538
